ResponseId	Gender	Tromp	Duration	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Submarine_1	Trespassers_1	Hostages_1	Liferaft_1	PlaneCrash_1	PrisWar_1	Spelunkers_1	Soldier_1	Surgery_1	Footbridge_1	Cryingbaby_1	AOT8_EN_1	AOT8_EN_2	AOT8_EN_3	AOT8_EN_4R	AOT8_EN_5R	AOT8_EN_6R	AOT8_EN_7R	AOT8_EN_8	AOT_TOT	Narc_TOT	Mach_TOT	Psych_TOT	CRT_TOT	Num_TOT	Heure_TOT	Age_correct
22	2	2	447	3	6	7	8	42.85	3.56	5.1	4.36	5.8	0	4.42	5.99	6.26	0	2.26	5.1	3	4	3	5	2	3	3	3	26	25	26	20	2	2	9	1
23	1	3	361	5	7	7	9	41.43	2.16	1.95	1.91	7.8	1.17	6.4	6.95	7.35	3.05	2.2	0.49	1	4	4	5	4	4	5	4	31	13	24	19	7	2	12	1
24	1	2	652	5	6	8	8	68.6	8.15	7.22	3.27	7.18	1.81	10	2.35	10	7.7	2.57	8.35	4	5	2	1	3	3	1	3	22	27	28	27	2	1	9	1
25	1	2	246	5	5	6	6	80	10	10	10	10	0	10	10	10	0	0	10	4	5	5	5	1	3	5	5	33	27	34	22	7	2	9.11666666666667	1
26	2	2	396	7	7	7	6	48.1	4.32	4.22	4.16	6.15	2.9	5.14	5.66	6.23	1.21	1.79	6.32	4	5	4	5	3	4	5	5	35	14	15	11	7	3	12.1166666666667	1
27	1	4	308	5	5	8	8	85.81	7.9	8.46	7.45	4.07	8.74	9.24	8.02	3.97	10	10	7.96	4	5	4	2	2	3	2	4	26	31	38	31	5	2	11	1
29	1	2	443	7	7	7	7	30	10	0	0	10	0	0	0	10	0	0	0	5	4	4	5	5	5	5	5	38	9	9	13	7	3	12.1333333333333	1
30	1	2	747	5	7	8	8	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	3	3	2	3	3	22	13	25	16	7	3	11.1333333333333	1
31	1	2	382	9	8	5	7	94.4	7.11	9.77	8.89	9.75	0	10	9.86	9.75	9.77	9.77	9.73	1	3	3	2	5	4	2	4	24	31	30	29	1	0	11	1
32	2	2	688	8	9	7	8	12.69	0	0	0	1.13	0	0	4.73	6.83	0	0	0	2	4	5	5	2	3	5	1	27	19	19	20	7	3	10.1666666666667	1
33	1	2	301	7	9	6	7	70.27	7.33	10	10	7.57	0.72	10	5.47	10	0	8.05	1.13	2	2	3	5	2	3	5	4	26	11	25	23	3	3	12.1666666666667	1
34	1	2	398	8	7	9	9	42.02	7.59	4.71	6.32	4.14	0	10	3.05	6.21	0	0	0	3	5	5	5	3	5	5	4	35	18	23	18	3	3	12	1
35	1	2	1019	5	4	6	5	84.62	8.91	7.53	8.6	10	3.58	7	6.3	8.99	7.1	7.37	9.24	3	4	4	4	3	3	4	4	29	22	30	24	1	1	11.2333333333333	1
39	1	2	416	8	9	7	6	24.67	3.5	0	0.06	3.97	3.13	1.3	0.86	3.48	2.98	3.27	2.12	3	4	4	3	4	2	3	4	27	25	31	22	4	2	11.1833333333333	1
40	1	2	354	8	9	7	7	82.36	9.24	9.44	9.16	9.22	0.51	9.26	9.28	8.5	8.19	9.03	0.53	4	4	4	4	2	4	4	3	29	31	29	21	5	2	12.2	1
41	1	2	1096	7	7	7	7	66.92	7.43	5.04	6.19	7.63	5.08	4.01	7.35	6.81	4.98	5.12	7.28	4	5	5	5	5	5	5	1	35	18	19	18	7	2	11.2	1
44	1	2	627	8	8	8	8	110	10	10	10	10	10	10	10	10	10	10	10	4	4	4	5	4	5	4	4	34	28	24	18	7	3	12.25	1
45	2	2	468	7	7	6	6	17.29	0.64	0.68	0	0.93	0	0.14	6.01	8.89	0	0	0	4	4	4	5	5	5	5	3	35	17	22	18	7	2	12.2166666666667	1
