ResponseId	Gender	Duration	Tromp	SleepEfficiency.criteria	SleepQualCro	SleepQualAcu	SleepQuantCro	SleepQuantAcu	Moral_DIL	Moral_SCA	Heure_TOT	Age_correct
81	1	932	1	1	20	19	7.5	7.83333333333333	50.99	39	9.33333333333333	1
82	1	665	1	1	12	16	7.71428571428572	10.8333333333333	2.55	33	9.35	1
83	2	691	1	1	15	15	8.11904761904762	7.9	11.27	28	10.35	1
84	2	771	1	1	13	18	9.07142857142857	9.41666666666667	100.62	38	9.35	1
85	2	695	1	1	18	18	9.27619047619048	8.66666666666667	15.91	32	9.41666666666667	1
86	1	689	1	1	17	19	6.5	7.33333333333333	46.34	36	9.35	1
87	2	855	1	1	19	19	9	8.75	45.1	35	9.03333333333333	1
88	1	1638	1	1	19	18	7.96666666666667	6.8	27.49	37	9.31666666666667	1
89	1	525	1	1	15	17	8.68214285714286	7	44.54	35	9.35	1
90	2	882	1	1	18	18	9.59523809523809	9.5	46.64	38	9.35	1
91	2	853	1	1	15	16	8.41666666666667	6.91666666666667	0	28	9.36666666666667	1
92	1	834	1	1	14	18	7.85714285714286	7.75	57.98	33	9.38333333333333	1
93	1	748	1	1	18	18	8.83333333333333	8.66666666666667	52.98	35	9.36666666666667	1
94	2	997	1	1	14	17	8.38095238095238	8.58333333333333	17.32	38	9.38333333333333	1
95	1	1083	1	1	8	18	5.67857142857143	6.25	50.69	35	9.38333333333333	1
96	2	892	1	1	15	18	7.96428571428571	8.25	23.85	34	9.4	1
97	1	891	1	1	14	18	7.83333333333333	7.5	2.09	34	9.41666666666667	1
98	2	1151	1	1	13	19	8.15476190476191	8.33333333333333	57.34	32	9.41666666666667	1
99	2	1000	1	1	17	18	10	9.5	28.74	41	9.43333333333333	1
100	2	1097	1	1	19	19	7.4047619047619	7.25	25.86	35	9.43333333333333	1
101	1	1049	1	1	17	18	8.33333333333333	7.5	52.68	38	10.45	1
102	2	1094	1	1	14	19	8.5	9.25	19.85	36	10.4666666666667	1
103	2	1092	1	1	16	18	8.44047619047619	8.91666666666667	6.4	30	9.46666666666667	1
104	1	1532	1	1	16	20	8.69642857142857	7.3	31.04	28	9.48333333333333	1
105	2	1208	1	1	14	18	8.41666666666667	9.75	26.5	36	9.48333333333333	1
106	2	1030	1	1	18	17	9.42857142857143	6.25	26.96	37	9.5	1
107	1	1281	1	1	8	13	3.92857142857143	6.83333333333333	38.4	34	9.51666666666667	1
108	2	1632	1	1	19	18	7.39285714285714	7.16666666666667	34.8	30	9.56666666666667	1
109	2	1897	1	1	17	19	6.64285714285714	8.25	46.23	38	9.6	1
110	2	647	1	1	14	17	8.94047619047619	9.25	2.18	32	9.93333333333333	1
111	2	975	1	1	17	19	6.85714285714286	7.5	19.15	32	10.0333333333333	1
114	2	425	1	1	16	18	9.57142857142857	8	51.11	37	13.0833333333333	1
115	2	512	1	1	17	18	6.575	7.5	4.15	33	13.1166666666667	1
116	1	515	1	1	15	17	7.7202380952381	4.66666666666667	63.49	41	13.1166666666667	1
117	2	545	1	1	19	19	7.78571428571429	8	51.97	42	13.1166666666667	1
118	2	551	1	1	17	18	9.63095238095238	9.08333333333333	43.2	37	13.1333333333333	1
119	2	568	1	1	16	19	9.19047619047619	8.33333333333333	0	37	13.1333333333333	1
120	2	579	1	1	19	18	7.85714285714286	7.5	6.57	33	13.1333333333333	1
121	2	617	1	1	17	17	8.94047619047619	9.16666666666667	0	33	13.15	1
123	2	898	1	1	19	20	7.29761904761905	7.16666666666667	78.79	40	13.2166666666667	1
124	1	971	1	1	16	19	8.77380952380952	8.91666666666667	45.98	36	13.25	1
125	2	1160	1	1	16	17	7.95238095238095	10.5	33.21	41	13.3	1
126	2	1128	1	1	17	19	6.54761904761905	8.75	25.15	38	13.3	1
127	2	613	1	1	15	11	7.91666666666667	2.46666666666667	28	31	13.3166666666667	1
128	2	1307	1	1	10	12	6.96428571428571	6.25	66.89	37	13.35	1
129	1	1653	1	1	18	18	7.9047619047619	7.83333333333333	5.92	36	13.4333333333333	1
